"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","some high school","free/reduced","none","69","61","58"
"female","group C","some college","free/reduced","completed","47","65","69"
"male","group A","high school","standard","none","66","52","53"
"male","group B","some college","standard","none","88","89","82"
"female","group C","master's degree","free/reduced","none","62","82","76"
"female","group B","some high school","free/reduced","none","47","69","60"
"female","group D","associate's degree","standard","none","71","66","74"
"female","group A","bachelor's degree","standard","none","57","62","60"
"male","group D","associate's degree","free/reduced","none","60","67","65"
"female","group D","some high school","standard","none","74","72","76"
"male","group C","high school","free/reduced","none","77","71","67"
"female","group C","some high school","standard","completed","69","79","83"
"male","group C","some college","free/reduced","none","65","62","56"
"male","group B","high school","free/reduced","none","55","58","51"
"female","group C","some high school","free/reduced","completed","78","88","91"
"female","group C","some high school","standard","none","70","72","72"
"female","group E","high school","standard","none","55","69","55"
"male","group D","some high school","free/reduced","completed","68","68","62"
"male","group C","master's degree","standard","none","73","62","58"
"male","group D","some college","free/reduced","none","54","50","51"
"female","group E","some high school","free/reduced","none","81","76","77"
"male","group C","some high school","free/reduced","none","70","76","73"
"male","group C","high school","standard","none","64","62","63"
"female","group D","master's degree","free/reduced","none","51","66","63"
"male","group D","some college","free/reduced","none","49","50","43"
"female","group C","some high school","standard","none","83","80","82"
"male","group A","master's degree","standard","none","86","92","81"
"female","group C","master's degree","standard","completed","83","89","94"
"male","group C","bachelor's degree","free/reduced","completed","61","77","68"
"male","group D","high school","standard","none","55","50","44"
"female","group C","associate's degree","standard","none","56","59","55"
"female","group C","bachelor's degree","standard","none","46","57","61"
"male","group E","some high school","free/reduced","completed","68","60","52"
"male","group E","some high school","standard","none","78","75","69"
"female","group B","some high school","standard","completed","85","94","93"
"female","group E","associate's degree","standard","none","95","99","95"
"male","group B","associate's degree","standard","completed","82","74","78"
"male","group C","associate's degree","standard","completed","94","85","96"
"female","group C","high school","standard","none","64","71","68"
"female","group C","associate's degree","free/reduced","completed","70","80","85"
"female","group C","some high school","standard","completed","84","78","84"
"female","group B","bachelor's degree","standard","none","62","81","73"
"female","group D","some high school","standard","none","52","58","53"
"male","group B","some college","standard","none","89","72","74"
"female","group C","some high school","standard","none","64","63","63"
"male","group D","associate's degree","free/reduced","completed","74","77","72"
"female","group D","some high school","free/reduced","none","50","54","54"
"male","group D","some college","standard","none","86","76","82"
"female","group A","associate's degree","free/reduced","none","53","62","64"
"male","group C","some high school","free/reduced","none","36","35","33"
"female","group C","some college","standard","none","64","81","75"
"male","group C","some college","standard","completed","71","69","74"
"female","group C","associate's degree","standard","none","73","79","77"
"male","group E","associate's degree","free/reduced","none","80","81","72"
"male","group C","some college","free/reduced","none","75","66","67"
"male","group C","master's degree","standard","none","64","57","51"
"female","group D","some high school","standard","none","68","87","77"
"male","group D","associate's degree","free/reduced","none","73","60","65"
"male","group C","some college","standard","none","77","76","69"
"female","group E","high school","standard","none","85","89","85"
"female","group E","some high school","free/reduced","none","77","85","82"
"female","group D","some college","free/reduced","completed","53","70","72"
"male","group C","some high school","free/reduced","none","48","43","42"
"female","group B","bachelor's degree","standard","completed","91","91","100"
"female","group C","master's degree","free/reduced","completed","67","81","85"
"female","group D","bachelor's degree","free/reduced","completed","74","87","88"
"female","group C","high school","standard","completed","70","82","78"
"male","group D","some high school","standard","completed","65","56","58"
"male","group B","bachelor's degree","standard","none","75","67","63"
"male","group B","some college","standard","none","63","56","49"
"female","group D","high school","standard","completed","86","92","94"
"female","group D","some college","standard","none","76","87","85"
"female","group B","some high school","free/reduced","completed","56","62","67"
"female","group A","some college","free/reduced","completed","48","61","64"
"male","group E","high school","free/reduced","none","67","62","60"
"male","group D","some college","free/reduced","completed","80","86","88"
"male","group D","associate's degree","standard","completed","77","73","74"
"male","group C","some high school","standard","completed","51","58","53"
"female","group C","some high school","free/reduced","completed","71","80","84"
"female","group E","some high school","free/reduced","completed","59","67","72"
"male","group D","some high school","free/reduced","none","69","62","57"
"female","group D","high school","standard","none","74","71","71"
"female","group B","master's degree","standard","none","63","68","65"
"male","group C","some high school","free/reduced","none","68","54","50"
"male","group B","some college","standard","completed","69","79","73"
"female","group D","some college","standard","completed","75","86","89"
"male","group B","bachelor's degree","free/reduced","completed","79","81","74"
"male","group D","master's degree","standard","none","51","36","44"
"male","group D","bachelor's degree","free/reduced","none","59","60","56"
"male","group D","some high school","free/reduced","none","49","55","49"
"male","group D","master's degree","standard","none","76","76","69"
"male","group C","associate's degree","standard","completed","75","78","77"
"male","group A","some high school","standard","none","54","45","43"
"female","group B","some high school","free/reduced","completed","45","63","65"
"female","group D","associate's degree","free/reduced","none","75","75","78"
"female","group D","some college","standard","none","56","59","61"
"female","group C","master's degree","standard","none","64","57","62"
"male","group E","master's degree","standard","completed","62","48","38"
"male","group C","high school","free/reduced","none","44","34","36"
"male","group E","bachelor's degree","free/reduced","none","48","48","40"
